ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3N2BC1432,0,105,2024-03-22 14:56:54,29.97551,519.6,665.2,14.11473,13.32185,0,0,1.15,1.15,1.5,60.01005,180.8175,98.16802,117.3945,59.8656,59.71555,5,5,49.96846,50.01711,50.00978,49.97901,0,0,1,5.5,32,230,-0.3469663,120,-11.45967,270.6396,251.3856,721.9404,271.3289,299.4719,271.3289,301.8511,32.2256,32.68493
E3N2BC1432,0,106,2024-03-22 14:57:00,29.97551,519.4,665.3,14.22385,13.15079,0,0,1.15,1.15,1.5,59.97109,178.9511,98.50501,117.8266,59.67318,59.66537,5,5,50.03769,49.99831,50.00827,49.99938,0,0,1,5.5,32,230,-0.3469625,120,-11.45967,273.6613,254.4073,720.9209,274.3506,300.4852,274.3506,302.5307,32.25312,32.7054
E3N2BC1432,0,107,2024-03-22 14:57:06,29.97551,518,664.2,14.36674,13.40501,0,0,1.15,1.15,1.5,59.96866,180.1704,100.3862,117.7625,59.61195,59.72308,5,5,50.01538,49.98289,50.00603,50.00247,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,276.6766,257.4226,720.5858,277.3659,300.3337,277.3659,303.0532,32.25718,32.80658
E3N2BC1432,0,108,2024-03-22 14:57:13,29.95614,518.1,664.7,14.24493,13.28355,0,0,1.15,1.15,1.5,60.10744,180.4115,101.1708,117.9007,59.65569,59.77076,5,5,50.00077,49.9547,50.03986,50.02778,0,0,1,5.5,32,230,-0.3469625,120,-11.45967,279.69,260.436,720.2269,280.3793,301.6654,280.3793,303.9332,32.23558,32.45692
E3N2BC1432,0,109,2024-03-22 14:57:19,29.97551,518,664.3,14.26669,13.5126,0,0,1.15,1.15,1.5,60.04779,179.6611,100.5672,117.8969,59.84436,59.73438,5,5,50.00231,50.02992,50.00677,50.02963,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,282.7137,263.4597,719.7961,283.403,302.139,283.403,304.8289,32.20573,32.59298
E3N2BC1432,0,110,2024-03-22 14:57:25,29.991,518,664.3,14.43279,13.48081,0,0,1.15,1.15,1.5,60.04049,179.7045,100.5924,118.0928,59.44952,59.73689,5,5,49.96923,50.00768,50.00827,49.99753,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,285.7411,266.4871,719.4562,286.4304,302.6826,286.4304,305.3004,32.22387,32.5818
E3N2BC1432,0,111,2024-03-22 14:57:31,29.991,517.9,664.5,14.37943,13.36053,0,0,1.15,1.15,1.5,60.08918,180.9867,100.3107,117.9723,59.76939,59.77954,5,5,49.97154,50.03331,50.01654,50.01357,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,288.7667,269.5127,718.8484,289.456,303.5755,289.456,306.1646,32.3006,32.73127
E3N2BC1432,0,112,2024-03-22 14:57:37,29.991,518,664.7,14.2582,13.36912,0,0,1.15,1.15,1.5,59.97231,179.393,99.97623,117.9559,59.68817,59.69548,5,5,50.01538,49.98289,50.03835,50,0,0,1,5.5,32,230,-0.3469625,120,-11.45967,291.7983,272.5443,717.9581,292.4876,304.5345,292.4876,306.6832,32.1752,32.55397
E3N2BC1432,0,113,2024-03-22 14:57:43,29.97551,518.1,664.5,14.10514,13.2318,0,0,1.15,1.15,1.5,59.98814,179.1863,99.95108,117.8241,59.69442,59.76825,5,5,49.97231,49.95128,50.03532,50.03765,0,0,1,5.5,32,230,-0.3469625,120,-11.45967,294.8197,275.5657,717.3694,295.509,305.2294,295.509,307.4139,32.2433,32.69235
E3N2BC1432,0,114,2024-03-22 14:57:49,29.97551,517.4,664.7,14.24546,13.47189,0,0,1.15,1.15,1.5,60.0064,180.813,100.0114,117.961,59.54448,59.67917,5,5,50.01,50.00514,49.96692,49.99074,0,0,1,5.5,32,230,-0.3469644,120,-11.4287,297.8394,278.5853,716.843,298.5287,305.7846,298.5287,308.1486,32.17482,32.4864
